(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(no_bgs_0.03),0.463,0.691,0.801,0.012,0.469,0.398,0.801,0.469,0.398,0.469,0.469,0.683,0.683
(no_bgs_0.05),0.479,0.699,0.784,0.012,0.485,0.412,0.784,0.485,0.412,0.486,0.486,0.699,0.699
(no_bgs_0.07),0.508,0.712,0.799,0.011,0.516,0.436,0.799,0.516,0.436,0.517,0.517,0.737,0.737
(no_bgs_0.09),0.566,0.739,0.823,0.009,0.573,0.486,0.823,0.573,0.486,0.566,0.566,0.799,0.799
(no_bgs_0.13),0.588,0.752,0.832,0.008,0.595,0.508,0.832,0.595,0.508,0.588,0.588,0.810,0.810
(no_bgs_0.11),0.577,0.744,0.827,0.009,0.584,0.497,0.827,0.584,0.497,0.577,0.577,0.809,0.809
(no_tracking_0.03),0.412,0.676,0.698,0.013,0.427,0.363,0.698,0.427,0.363,0.472,0.472,0.599,0.599
(no_tracking_0.05),0.381,0.662,0.662,0.013,0.395,0.336,0.662,0.395,0.336,0.439,0.439,0.550,0.550
(no_tracking_0.07),0.359,0.653,0.633,0.013,0.372,0.317,0.633,0.372,0.317,0.411,0.411,0.514,0.514
(no_tracking_0.09),0.316,0.634,0.584,0.012,0.326,0.279,0.584,0.326,0.279,0.354,0.354,0.443,0.443
(no_tracking_0.11),0.274,0.615,0.539,0.013,0.281,0.243,0.539,0.281,0.243,0.300,0.300,0.375,0.375
(no_tracking_0.13),0.247,0.602,0.512,0.013,0.251,0.218,0.512,0.251,0.218,0.264,0.264,0.331,0.331
(no_momentum_full_0.12),0.584,0.749,0.829,0.008,0.591,0.504,0.829,0.591,0.504,0.584,0.584,0.809,0.809
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(no_motion_0.03),0.327,0.629,0.688,0.015,0.348,0.272,0.688,0.348,0.272,0.402,0.402,0.544,0.544
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(no_motion_0.03),0.327,0.629,0.688,0.015,0.348,0.272,0.688,0.348,0.272,0.402,0.402,0.544,0.544
(no_motion_0.05),0.338,0.638,0.681,0.014,0.357,0.289,0.681,0.357,0.289,0.407,0.407,0.536,0.536
(no_motion_0.07),0.345,0.643,0.657,0.012,0.365,0.301,0.657,0.365,0.301,0.412,0.412,0.518,0.518
(no_motion_0.09),0.284,0.614,0.604,0.012,0.302,0.244,0.604,0.302,0.244,0.344,0.344,0.444,0.444
(no_motion_0.11),0.242,0.595,0.581,0.012,0.257,0.209,0.581,0.257,0.209,0.297,0.297,0.380,0.380
(no_motion_0.13),0.250,0.602,0.561,0.012,0.266,0.219,0.561,0.266,0.219,0.305,0.305,0.384,0.384
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(full_0.03),0.514,0.723,0.825,0.010,0.529,0.451,0.825,0.529,0.451,0.568,0.568,0.716,0.716
(full_0.05),0.551,0.739,0.852,0.010,0.568,0.484,0.852,0.568,0.484,0.611,0.611,0.765,0.765
(full_0.07),0.570,0.748,0.861,0.010,0.589,0.502,0.861,0.589,0.502,0.634,0.634,0.790,0.790
(full_0.09),0.628,0.776,0.878,0.008,0.648,0.550,0.878,0.648,0.550,0.690,0.690,0.890,0.890
(full_0.11),0.617,0.770,0.864,0.009,0.639,0.546,0.864,0.639,0.546,0.689,0.689,0.830,0.830
(full_0.13),0.616,0.768,0.861,0.009,0.638,0.544,0.861,0.638,0.544,0.690,0.690,0.831,0.831
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(no_back_tracking_0.03),0.501,0.717,0.811,0.010,0.515,0.440,0.811,0.515,0.440,0.551,0.551,0.697,0.697
(no_back_tracking_0.05),0.520,0.724,0.823,0.010,0.534,0.456,0.823,0.534,0.456,0.569,0.569,0.719,0.719
(no_back_tracking_0.07),0.533,0.731,0.823,0.010,0.548,0.468,0.823,0.548,0.468,0.586,0.586,0.736,0.736
(no_back_tracking_0.09),0.565,0.747,0.825,0.009,0.578,0.497,0.825,0.578,0.497,0.609,0.609,0.754,0.754
(no_back_tracking_0.11),0.553,0.741,0.827,0.010,0.565,0.487,0.827,0.565,0.487,0.588,0.588,0.723,0.723
(no_back_tracking_0.13),0.537,0.733,0.815,0.010,0.549,0.472,0.815,0.549,0.472,0.574,0.574,0.706,0.706
